   List of levels:

     Level   Energy             Jpi    K
   5060    31/2-     27/2-   849.10(10)      0.10(5)      1.40e-03   0.00  E2
   4485    27/2+     25/2+   853.9(10)       0.24(24)     1.50e-03   0.00  M1
   2444    15/2-     11/2-   857.9(10)       0.61(24)     1.36e-03   0.00  E2
    903    11/2+      7/2+   863.3(4)        4.88(20)     1.34e-03   0.00  E2
   5447    33/2-     29/2-   864.20(20)      0.54(12)     1.34e-03   0.00  E2
   1523    15/2+     11/2+   866.60(10)      13.41(20)    1.33e-03   0.00  E2
   3151    21/2+     17/2+   867.3(7)        0.61(22)     1.33e-03   0.00  E2
   4196    29/2-     25/2-   868.0(10)       2.44(24)     1.33e-03   0.00  E2
   3397    23/2+     19/2+   872.70(4)       6.00(21)     1.30e-03   0.00  E2
   5197    33/2+     29/2+   875.7(6)        0.98(10)     1.30e-03   0.00  E2
   4106    27/2-     23/2-   879.30(10)      1.22(12)     1.29e-03   0.00  E2
   4660    29/2-     25/2-   881.40(10)      0.27(7)      1.28e-03   0.00  E2
   2520    17/2-     13/2-   883.90(20)      12.20(12)    1.27e-03   0.00  E2
   5206    31/2+     29/2+   885.2(10)       0.24(24)     1.39e-03   0.00  M1
   6103    35/2+     31/2+   885.9(10)       0.02(24)     1.26e-03   0.00  E2
   2236    17/2+     13/2+   886.2(9)        2.44(20)     1.26e-03   0.00  E2
   5447    33/2-     29/2-   887.9(10)       0.32(24)     1.26e-03   0.00  E2
   4830    29/2+     27/2+   889.9(10)       1.22(24)     1.36e-03   0.00  M1
   3631    25/2+     21/2+   893.20(20)      13.4(5)      1.24e-03   0.00  E2
   2418    17/2+     15/2+   894.5(10)       2.44(24)     1.35e-03   0.00  M1
   5091    31/2-     29/2-   895.2(10)       0.49(24)     1.35e-03   0.00  M1
   1716    17/2+     13/2+   895.20(10)      61.0(12)     1.23e-03   0.00  E2
   3868    25/2+     21/2+   895.3(4)        0.12(10)     1.23e-03   0.00  E2
